density_radius_che,min_density_che,outlier_distance_che,seeding_distance_che,w_z_che,R1_pi,R2_pi,R3_pi
1.0,2.350557948162703,18.067960064372265,1.0,0.44737674512860237,0.206523465157812,1.2146497205912803,0.9021947581504369
1.0,0.6868585844155528,30.0,1.0,1.0,0.206523465157812,0.8206020091994565,3.155976987001918
1.0,1.1812654398120916,1.0,1.0937127703699456,1.0,0.206523465157812,0.9982269263079847,1.762412103132325
1.0,1.6954509029353007,1.0,17.826273673206188,0.5115492952403832,0.206523465157812,1.1131744219635973,1.2331131472405712
1.6867541835005975,0.01,4.557094651870434,12.515481717312337,0.3377280589418716,1.3050549080582967,0.4484235088380896,7.240571063285745
2.144857649250877,0.01,7.0779756040286035,9.437834982384604,0.5346073510157283,1.2779454886741954,0.6504010701332442,4.779671851694013
1.0,0.4440531983481031,24.151277143009704,1.0,0.37593422023889045,0.206523465157812,0.6673368971335335,5.151502237374814
1.0,1.5662861843034235,1.0,14.524310940669892,0.2,0.206523465157812,1.0877657627613087,1.3351800554016622
10.0,0.01,24.899519980298457,2.4323755876488433,0.2,1.2762570597047271,0.37799010038783154,11.954826337097806
3.3336563031465323,0.10078791700301792,10.010707122623112,6.991672416101782,1.0,1.261849222542465,0.6169990984472197,5.833368847219264
1.0,4.228034200784373,28.600761187845983,1.0,1.0,0.206523465157812,1.4074729284352565,0.5410185382484552
1.0,3.7108348370907605,22.284819227643702,1.0,0.90006193431456,0.206523465157812,1.3615751095577804,0.6032388663967612
1.0404632632275195,2.3254801033931813,1.0,1.0,0.5313291464384281,0.206523465157812,1.2118224467686871,0.9113573407202217
9.482074224878659,0.19555179652616217,1.0,6.132699070597248,0.5943425955103139,0.20709796593788607,0.32546767490621337,17.627530364372472
1.0,0.6759225963737994,1.0,21.72375272825158,0.2538012331921464,0.206523465157812,0.8158649749698218,3.2088216492648627
1.0,1.877213729212614,1.0,2.5919299425453484,0.2,0.206523465157812,1.145570963558792,1.119965906669508
1.0,2.5722134357096382,4.883910912531006,4.100483664514794,0.24268497059697658,0.482924014436862,1.0315054664432632,0.4444917962923503
1.0,0.48675612858873696,1.0,12.458062239583466,0.5356535890726258,0.206523465157812,0.6997117251494724,4.662689111442575
1.0,1.277986826887405,1.0,15.803743256949593,0.2,0.206523465157812,1.0246183225527192,1.6285957809503517
1.0,1.2149066247224969,1.0,6.731918027427801,1.0,0.206523465157812,1.0079931098447923,1.7119113573407205
